x,y,objectid,cat1,cat2,name,city,state,post_id,zip,latitude,longitude,date_updated,point_x,point_y,program_type
-118.148451356895,34.7022932661432,72438,Health and Mental Health,Mental Health Centers,"JWCH Institute, Inc. – Wesley Health and Wellness",Lancaster,CA,2007344,93534,34.7022933,-118.1484513,2020/02/19 11:50:08+00,6517052.01236323,2077992.88234755,General Mental Health Resource
-118.15318235768,34.6882022662758,72510,Health and Mental Health,Mental Health Centers,"STAR VIEW BEHAVIORAL HEALTH, INC.",LANCASTER,CA,2009341,93534,34.6882023,-118.1531823,2020/04/24 15:54:22+00,6515622.25603639,2072866.86930564,General Mental Health Resource
-118.154530757678,34.6877651655516,72213,Health and Mental Health,Mental Health Centers,PATHWAYS COMMUNITY SERVICES,LANCASTER,CA,2005564,93534,34.6877652,-118.1545307,2018/03/02 13:32:56+00,6515216.6699053,2072708.41555431,General Mental Health Resource
-118.155660057026,34.6899599654574,71951,Health and Mental Health,Mental Health Centers,ALAFIA MENTAL HEALTH INSTITUTE,LANCASTER,CA,1000333,93534,34.68996,-118.15566,2017/01/30 16:47:19+00,6514878.42714347,2073507.69348331,General Mental Health Resource
-118.154340057298,34.6877599661032,72092,Health and Mental Health,Mental Health Centers,PROVIDENCE COMMUNITY SERVICES,LANCASTER,CA,1000479,93534,34.68776,-118.15434,2016/05/30 18:53:23+00,6515273.99360955,2072706.43524331,General Mental Health Resource
-118.136070057019,34.6952699659102,72085,Health and Mental Health,Mental Health Centers,HATHAWAY SYCAMORES CHILD AND FAMILY SERVICES,LANCASTER,CA,1000472,93534,34.69527,-118.13607,2018/03/02 13:53:21+00,6520769.85532121,2075431.61975355,General Mental Health Resource
-118.158520057428,34.6892799662137,71673,Health and Mental Health,Mental Health Centers,ANTELOPE VALLEY HOSPITAL,LANCASTER,CA,1000042,93534,34.68928,-118.15852,2018/03/01 17:12:31+00,6514018.31239389,2073261.56471048,General Mental Health Resource
-118.147171457085,34.6974832654817,72215,Health and Mental Health,Mental Health Centers,TARZANA TREATMENT CENTERS,LANCASTER,CA,2005572,93534,34.6974833,-118.1471714,2020/02/11 09:44:27+00,6517434.1339743,2076241.80874997,General Mental Health Resource
-118.145200057348,34.701479966167,71919,Health and Mental Health,Mental Health Centers,CHILDREN'S CENTER OF ANTELOPE VALLEY,LANCASTER,CA,1000301,93534,34.70148,-118.1452,2017/02/08 10:55:54+00,6518028.78993721,2077695.46988465,General Mental Health Resource
-118.148611357799,34.6788453663501,72044,Health and Mental Health,Mental Health Centers,HERITAGE CLINIC LANCASTER,PALMDALE,CA,1000428,93534,34.6788454,-118.1486113,2019/05/02 09:48:00+00,6516991.30677597,2069459.54967673,General Mental Health Resource
-118.146260056848,34.6894099658979,71906,Health and Mental Health,Mental Health Centers,CHILD BUREAU OF SOUTHERN CA-LANCASTER DT,LANCASTER,CA,1000288,93534,34.68941,-118.14626,2017/02/08 10:50:01+00,6517703.80371055,2073303.28838031,General Mental Health Resource
-118.15405215759,34.6878769661487,72219,Health and Mental Health,Mental Health Centers,"PERSONAL INVOLVEMENT CENTER, INC.",LANCASTER,CA,2005587,93534,34.687877,-118.1540521,2020/06/17 12:47:24+00,6515360.6046568,2072748.8823369,General Mental Health Resource
-118.148777756779,34.6909435662154,71945,Health and Mental Health,Mental Health Centers,TARZANA TREATMENT CENTER,LANCASTER,CA,1000327,93534,34.6909436,-118.1487777,2016/07/11 15:13:12+00,6516947.79669239,2073862.52282615,General Mental Health Resource
-118.148463157152,34.6905051659345,72333,Health and Mental Health,Mental Health Centers,TARZA TREATMENT CENTER,LANCASTER,CA,2006642,93534,34.6905052,-118.1484631,2018/07/25 08:35:39+00,6517042.12950897,2073702.83580956,General Mental Health Resource
-118.200170056383,34.4488099663207,72158,Health and Mental Health,Mental Health Centers,SSG-AVRC - ANTELOPE VALLEY,ACTON,CA,1000548,93510,34.44881,-118.20017,2018/03/06 17:05:06+00,6501323.83318973,1985770.92834039,General Mental Health Resource
-118.19733605642,34.4492899661409,72231,Health and Mental Health,Mental Health Centers,SSG AVRC,ACTON,CA,2005679,93510,34.44929,-118.197336,2019/10/22 11:27:40+00,6502178.55851439,1985943.92077656,General Mental Health Resource
-118.138420056978,34.7018099656563,71769,Health and Mental Health,Mental Health Centers,MHA ANTELOPE VALLEY,LANCASTER,CA,1000141,93434,34.70181,-118.13842,2016/05/30 18:53:23+00,6520066.76092689,2077812.69209114,General Mental Health Resource
-118.085671457143,34.5813183661499,72217,Health and Mental Health,Mental Health Centers,SA1 SB82 MOBILE TRIAGE TEAM,PALMDALE,CA,2005581,93350,34.5813184,-118.0856714,2018/03/06 08:46:50+00,6535883.51866339,2033944.7214283,General Mental Health Resource
-118.930142456305,35.3658780641867,72418,Health and Mental Health,Mental Health Centers,CRESTWOOD BEHAVIORAL HEALTH CENTER,BAKERSFIELD,CA,2007205,93306,35.3658781,-118.9301424,2019/03/22 16:09:34+00,6284346.82948056,2320759.83086781,General Mental Health Resource
-117.076742057432,32.7495035702999,72419,Health and Mental Health,Mental Health Centers,CRESTWOOD SAN DIEGO,SAN DIEGO,CA,2007208,92105,32.7495036,-117.076742,2019/03/22 15:35:10+00,6845687.52044521,1368549.48365189,General Mental Health Resource
-117.070703757236,32.6173591701218,72417,Health and Mental Health,Mental Health Centers,CRESTWOOD CHULA VISTA,CHULA VISTA,CA,2007201,91911,32.6173592,-117.0707037,2019/03/22 16:10:20+00,6847989.75074889,1320461.97910531,General Mental Health Resource
-118.134968057067,34.0861869666341,72514,Health and Mental Health,Mental Health Centers,HSCFS NORTHRUP ES MS,ALHAMBRA,CA,2009355,91801,34.086187,-118.134968,2020/04/29 17:08:48+00,6520803.48025396,1853772.93577522,General Mental Health Resource
-118.115856356364,34.0702812673148,72497,Health and Mental Health,Mental Health Centers,HSCFS- MARK KEPPEL HS,ALHAMBRA,CA,2009225,91801,34.0702813,-118.1158563,2020/04/07 17:41:21+00,6526583.62190889,1847977.33319323,General Mental Health Resource
-118.126623356272,34.0920169673715,72343,Health and Mental Health,Mental Health Centers,AMET,ALHAMBRA,CA,2006669,91801,34.092017,-118.1266233,2018/07/26 07:46:20+00,6523332.83641572,1855891.29374322,General Mental Health Resource
-118.128817656459,34.0930739667414,72520,Health and Mental Health,Mental Health Centers,HSCFS ALHAMBRA HS,ALHAMBRA,CA,2009379,91801,34.093074,-118.1288176,2020/05/13 15:52:08+00,6522668.96569622,1856276.79953389,General Mental Health Resource
-118.121720056754,34.0912699668643,71928,Health and Mental Health,Mental Health Centers,HOMES FOR LIFE FOUNDATION,ALHAMBRA,CA,1000310,91801,34.09127,-118.12172,2016/05/30 18:53:23+00,6524817.06901155,1855617.61253206,General Mental Health Resource
-117.884596856889,34.0061011674991,72436,Health and Mental Health,Mental Health Centers,FOOTHILL FAMILY SERVICE,WEST COVINA,CA,2007339,91792,34.0061012,-117.8845968,2019/05/24 08:50:49+00,6596646.63171697,1824620.79033948,General Mental Health Resource
-117.883658457608,34.0712429670934,72021,Health and Mental Health,Mental Health Centers,FIVE ACRES,WEST COVINA,CA,1000405,91791,34.071243,-117.8836584,2018/10/16 10:59:45+00,6596903.60101931,1848327.48734856,General Mental Health Resource
-117.904646656627,34.0820672673239,72462,Health and Mental Health,Mental Health Centers,HERITAGE YOUTH SERVICES 3,WEST COVINA,CA,2007946,91791,34.0820673,-117.9046466,2020/02/28 15:12:14+00,6590543.73086505,1852259.96111089,General Mental Health Resource
-117.945265856638,34.052248567538,72485,Health and Mental Health,Mental Health Centers,EGGLESTON BHS WEST COVINA,WEST COVINA,CA,2009067,91790,34.0522486,-117.9452658,2020/02/28 15:16:50+00,6578249.9808463,1841399.18197948,General Mental Health Resource
-117.93838005693,34.0727799667904,71780,Health and Mental Health,Mental Health Centers,PACIFIC CLINICS-ACT-WEST COVINA,WEST COVINA,CA,1000152,91790,34.07278,-117.93838,2016/05/30 18:53:23+00,6580331.19190697,1848872.15981564,General Mental Health Resource
-117.752661857372,34.0866926672699,72488,Health and Mental Health,Mental Health Centers,EGGLESTON BHS LA VERNE,POMONA,CA,2009074,91766,34.0866927,-117.7526618,2020/03/03 13:55:17+00,6636561.14834447,1854021.67970031,General Mental Health Resource
-117.93492005676,34.0690158670671,72248,Health and Mental Health,Mental Health Centers,ENKI YOUTH AND FAMILY SERVICES - WEST COVINA,WEST COVINA,CA,2005809,91790,34.0690159,-117.93492,2020/05/26 16:03:17+00,6581379.89748672,1847502.99260648,General Mental Health Resource
-117.957310056563,34.0868899674964,71825,Health and Mental Health,Mental Health Centers,CHILDREN'S BUREAU OF S CALIFORNIA-SG VALLEY,WEST COVINA,CA,1000200,91790,34.08689,-117.95731,2020/01/17 15:02:11+00,6574596.29228756,1854004.08196647,General Mental Health Resource
-117.892550056604,34.027689967377,71719,Health and Mental Health,Mental Health Centers,ALMA FAMILY SERVICES,WALNUT,CA,1000089,91789,34.02769,-117.89255,2018/03/14 16:47:26+00,6594227.78484863,1832474.71262373,General Mental Health Resource
-117.641918557636,34.0885939673517,72491,Health and Mental Health,Mental Health Centers,EGGLESTON BHS UPLAND,UPLAND,CA,2009090,91786,34.088594,-117.6419185,2020/03/19 14:42:26+00,6670090.20792663,1854814.57772081,General Mental Health Resource
-118.105880056211,34.100809967056,71694,Health and Mental Health,Mental Health Centers,SAN GABRIEL VALLEY MEDICAL HOSPITAL,SAN GABRIEL,CA,1000063,91776,34.10081,-118.10588,2018/03/14 16:21:34+00,6529616.61321822,1859083.96649173,General Mental Health Resource
-118.094270056496,34.089389966991,71929,Health and Mental Health,Mental Health Centers,HOMES FOR LIFE FOUNDATION,SAN GABRIEL,CA,1000311,91776,34.08939,-118.09427,2016/05/30 18:53:23+00,6533127.48250881,1854924.51647732,General Mental Health Resource
-117.827787056936,34.0971958671987,72396,Health and Mental Health,Mental Health Centers,LONE HILL INTERMEDIATE SCHOOL,SAN DIMAS,CA,2007037,91773,34.0971959,-117.827787,2019/03/22 16:26:38+00,6613807.68400897,1857796.51302989,General Mental Health Resource
-117.797890057469,34.1334999667129,71765,Health and Mental Health,Mental Health Centers,CAMP GLEN ROCKEY,SAN DIMAS,CA,1000137,91773,34.1335,-117.79789,2018/03/15 11:35:25+00,6622832.40119572,1871025.07613964,General Mental Health Resource
-117.823830056782,34.0930099671771,71884,Health and Mental Health,Mental Health Centers,MCKINLEY CHILDREN'S  CENTER,SAN DIMAS,CA,1000265,91773,34.09301,-117.82383,2019/02/20 09:33:51+00,6615008.33154206,1856275.26377581,General Mental Health Resource
-117.794110057694,34.1235999668552,72197,Health and Mental Health,Mental Health Centers,DAVID & MARGARET HOMES,SAN DIMAS,CA,1000589,91773,34.1236,-117.79411,2018/03/22 11:45:05+00,6623983.67448372,1867424.61286815,General Mental Health Resource
-117.821960957362,34.0948269671363,72441,Health and Mental Health,Mental Health Centers,MCKINLEY-STRTP,SAN DIMAS,CA,2007387,91773,34.094827,-117.8219609,2019/06/14 13:40:35+00,6615573.05646247,1856937.50031222,General Mental Health Resource
-118.065150057056,34.0815899672268,72033,Health and Mental Health,Mental Health Centers,PACIFIC CLINICS - SSG,ROSEMEAD,CA,1000417,91770,34.08159,-118.06515,2016/05/30 18:53:23+00,6541942.52524614,1852078.95819207,General Mental Health Resource
-118.065150057056,34.0815899672268,71739,Health and Mental Health,Mental Health Centers,PACIFIC CLINICS - ASIAN PACIFIC FAMILY CENTER,ROSEMEAD,CA,1000110,91770,34.08159,-118.06515,2018/03/15 09:27:42+00,6541942.52524614,1852078.95819207,General Mental Health Resource
-118.105720056381,34.0693399671138,71633,Health and Mental Health,Mental Health Centers,SILVER LAKE MEDICAL CENTER,ROSEMEAD,CA,1000002,91770,34.06934,-118.10572,2018/03/14 16:25:00+00,6529653.00619005,1847631.39294022,General Mental Health Resource
-118.074360056265,34.0892199671775,71676,Health and Mental Health,Mental Health Centers,BHC ALHAMBRA HOSPITAL,ROSEMEAD,CA,1000045,91770,34.08922,-118.07436,2018/03/14 15:18:58+00,6539155.73784073,1854857.59403898,General Mental Health Resource
-118.1034200571,34.0544199666933,71907,Health and Mental Health,Mental Health Centers,MARYVALE,ROSEMEAD,CA,1000289,91770,34.05442,-118.10342,2020/06/09 12:18:08+00,6530343.97495247,1842200.99533647,General Mental Health Resource
-117.773550057314,34.0647199671906,71638,Health and Mental Health,Mental Health Centers,LAUREL PARK,POMONA,CA,1000007,91768,34.06472,-117.77355,2018/03/14 14:02:35+00,6630254.49658772,1846010.50937098,General Mental Health Resource
-117.801967957379,34.0640662669493,72468,Health and Mental Health,Mental Health Centers,VTC POMONA,POMONA,CA,2007993,91768,34.0640663,-117.8019679,2019/09/13 08:21:58+00,6621648.14109705,1845754.44196972,General Mental Health Resource
-117.801860056802,34.0647499668989,72138,Health and Mental Health,Mental Health Centers,SPECIALIZED FOSTER CARE,POMONA,CA,1000527,91768,34.06475,-117.80186,2020/05/26 16:52:41+00,6621680.33033714,1846003.31745623,General Mental Health Resource
-117.745741357278,34.0774210674848,72128,Health and Mental Health,Mental Health Centers,TRI-CITIES MENTAL HEALTH AUTHORITY,POMONA,CA,1000517,91767,34.0774211,-117.7457413,2020/01/24 15:42:47+00,6638665.11723363,1850652.80782914,General Mental Health Resource
-117.720740057499,34.0614499671317,72034,Health and Mental Health,Mental Health Centers,CRITTENTON SERVICES FOR CHILDREN & FAMILIES,POMONA,CA,1000418,91767,34.06145,-117.72074,2018/03/19 08:01:31+00,6646252.15684955,1844860.73345532,General Mental Health Resource
-117.752330056938,34.0827499668487,72077,Health and Mental Health,Mental Health Centers,TRI-CITIES MHC,POMONA,CA,1000464,91767,34.08275,-117.75233,2019/07/17 07:52:39+00,6636665.14846456,1852587.10809439,General Mental Health Resource
-117.750966856942,34.0650317676021,72427,Health and Mental Health,Mental Health Centers,BOYS REPUBLIC - POMONA RESIDENCE,POMONA,CA,2007293,91767,34.0650318,-117.7509668,2019/04/18 14:28:24+00,6637093.90187214,1846140.15674947,General Mental Health Resource
-117.752030056911,34.0833699673615,71636,Health and Mental Health,Mental Health Centers,LANDMARK MEDICAL CENTER,POMONA,CA,1000005,91767,34.08337,-117.75203,2018/03/14 13:58:35+00,6636755.43207663,1852812.96131723,General Mental Health Resource
-117.737177057053,34.0806402673403,72484,Health and Mental Health,Mental Health Centers,EGGLESTON BHS LA VERNE 2,POMONA,CA,2008730,91767,34.0806403,-117.737177,2020/02/12 11:25:11+00,6641255.49525496,1851831.00265123,General Mental Health Resource
-117.748990057358,34.0623599669101,71894,Health and Mental Health,Mental Health Centers,ETTIE LEE HOMES-POMONA,POMONA,CA,1000276,91767,34.06236,-117.74899,2018/03/16 11:02:29+00,6637695.03321581,1845169.32929482,General Mental Health Resource
-117.735320057562,34.0907999674819,71976,Health and Mental Health,Mental Health Centers,PROTOTYPES OBHS POMONA,POMONA,CA,1000358,91767,34.0908,-117.73532,2020/04/16 10:51:54+00,6641808.0742023,1855529.77248465,General Mental Health Resource
-117.737260057336,34.0956199668031,71969,Health and Mental Health,Mental Health Centers,PACIFIC CLINICS-BONITA FAMILY SERVICE CENTER,POMONA,CA,1000351,91767,34.09562,-117.73726,2016/05/30 18:53:23+00,6641216.11245972,1857282.31392705,General Mental Health Resource
-117.753660057838,34.0552999674019,72211,Health and Mental Health,Mental Health Centers,HILLSIDE FAMILY RESOURCE CENTER-POMONA,POMONA,CA,1000604,91766,34.0553,-117.75366,2018/03/22 13:31:09+00,6636286.90545464,1842596.56737998,General Mental Health Resource
-117.77568065683,34.03163766713,72460,Health and Mental Health,Mental Health Centers,HERITAGE YOUTH SERVICES 1,PHILLIPS RANCH,CA,2007720,91766,34.0316377,-117.7756806,2020/02/26 10:24:55+00,6629636.07820514,1833969.79756007,General Mental Health Resource
-117.753897357682,34.0547332670452,72249,Health and Mental Health,Mental Health Centers,"SA 3, PMET - POMONA",POMONA,CA,2005814,91766,34.0547333,-117.7538973,2018/03/23 11:33:50+00,6636215.5322378,1842390.15867206,General Mental Health Resource
-117.74087935708,34.0294411674904,71640,Health and Mental Health,Mental Health Centers,OLIVE VISTA,POMONA,CA,1000009,91766,34.0294412,-117.7408793,2018/03/14 14:09:32+00,6640182.44097063,1833195.80763823,General Mental Health Resource
-117.688606657577,34.0579926676333,72490,Health and Mental Health,Mental Health Centers,EGGLESTON BHS ONTARIO,ONTARIO,CA,2009084,91762,34.0579927,-117.6886066,2020/03/19 14:28:58+00,6655988.53862347,1843631.15684623,General Mental Health Resource
-118.16191255634,34.0512223665613,71964,Health and Mental Health,Mental Health Centers,TRINITY MONTEREY PARK,MONTEREY PARK,CA,1000346,91754,34.0512224,-118.1619125,2020/04/03 16:41:47+00,6512624.48873797,1841060.71152781,General Mental Health Resource
-118.166840056299,34.0582699665178,71896,Health and Mental Health,Mental Health Centers,JUVENILE COURT MENTAL HEALTH SERVICES,MONTEREY PARK,CA,1000278,91754,34.05827,-118.16684,2018/03/16 11:15:17+00,6511136.12983805,1843627.90718082,General Mental Health Resource
-118.125940056402,34.0590474668223,72250,Health and Mental Health,Mental Health Centers,"SA 3, MPMET - MONTEREY PARK",MONTEREY PARK,CA,2005819,91754,34.0590475,-118.12594,2018/03/23 13:19:01+00,6523524.68544146,1843892.81314707,General Mental Health Resource
-118.130860056524,34.0695799670974,72178,Health and Mental Health,Mental Health Centers,SHARE PRRCH,MONTEREY PARK,CA,1000569,91754,34.06958,-118.13086,2018/03/22 10:28:06+00,6522039.46990797,1847727.69294448,General Mental Health Resource
-117.718455357553,34.121730967541,72452,Health and Mental Health,Mental Health Centers,HAYNES FP STRTP,LA VERNE,CA,2007543,91750,34.121731,-117.7184553,2019/07/25 08:14:53+00,6646882.69430238,1866799.97074473,General Mental Health Resource
-117.769428057849,34.1213530671699,72464,Health and Mental Health,Mental Health Centers,HERITAGE YOUTH SERVICES 5,LA VERNE,CA,2007952,91750,34.1213531,-117.769428,2020/02/26 10:39:01+00,6631455.63362114,1866623.14531098,General Mental Health Resource
-117.785024757258,34.1191626669464,71973,Health and Mental Health,Mental Health Centers,"HAYNES FAMILY OF PROGRAMS, INC.",LA VERNE,CA,1000355,91750,34.1191627,-117.7850247,2018/11/16 07:30:18+00,6626736.8228488,1865815.55768731,General Mental Health Resource
-117.745920057915,34.1517699669306,71763,Health and Mental Health,Mental Health Centers,CAMP AFFLERBAUGH,LA VERNE,CA,1000135,91750,34.15177,-117.74592,2018/03/15 11:19:33+00,6638542.60894847,1877709.53160273,General Mental Health Resource
-117.785410057314,34.1029299675623,71974,Health and Mental Health,Mental Health Centers,DAVID AND MARGARET HOMES,LA VERNE,CA,1000356,91750,34.10293,-117.78541,2020/01/31 11:56:02+00,6626632.81616706,1859907.94056556,General Mental Health Resource
-117.745920057915,34.1517699669306,71764,Health and Mental Health,Mental Health Centers,CAMP JOSEPH PAIGE,LA VERNE,CA,1000136,91750,34.15177,-117.74592,2018/03/15 11:24:31+00,6638542.60894847,1877709.53160273,General Mental Health Resource
-117.896751956686,33.9947703671189,72364,Health and Mental Health,Mental Health Centers,PC MULTICULTURAL FAMILY CENTER,CITY OF INDUSTRY,CA,2006716,91748,33.9947704,-117.8967519,2018/07/27 10:34:13+00,6592966.91171423,1820493.27497248,General Mental Health Resource
-117.899359857174,33.9964161673819,72467,Health and Mental Health,Mental Health Centers,STAR VIEW URGENT CARE CENTER,CITY OF INDUSTRY,CA,2007961,91748,33.9964162,-117.8993598,2019/08/28 10:53:04+00,6592175.80502872,1821091.41353998,General Mental Health Resource
-117.928149757089,34.0128992671738,72430,Health and Mental Health,Mental Health Centers,FOOTHILL FAMILY SERVICE,LA PUENTE ,CA,2007308,91744,34.0128993,-117.9281497,2019/04/18 16:42:54+00,6583444.89073205,1827082.46028489,General Mental Health Resource
-117.975930057036,34.0333699670962,71753,Health and Mental Health,Mental Health Centers,ENKI LPV MENTAL HEALTH CENTER-LA PUENTE,LA PUENTE,CA,1000125,91744,34.03337,-117.97593,2018/03/15 11:08:07+00,6568963.06897397,1834525.24756464,General Mental Health Resource
-117.928538757295,34.0447939668494,72461,Health and Mental Health,Mental Health Centers,HERITAGE YOUTH SERVICES 2,LA PUENTE ,CA,2007731,91744,34.044794,-117.9285387,2020/06/25 10:29:11+00,6583318.74990822,1838689.48890807,General Mental Health Resource
-117.872490057634,34.1175699672909,71862,Health and Mental Health,Mental Health Centers,PACIFIC CLINICS - SIERRA FAMILY CENTER,GLENDORA,CA,1000242,91740,34.11757,-117.87249,2018/03/15 17:07:27+00,6600264.48668598,1865190.84371364,General Mental Health Resource
-117.865030057369,34.1286099667882,71692,Health and Mental Health,Mental Health Centers,GLENDORA OAKS  BEHV HLTH HOSP,GLENDORA,CA,1000061,91740,34.12861,-117.86503,2020/04/09 13:51:51+00,6602517.05009422,1869211.44820523,General Mental Health Resource
-117.873900057351,34.1259399667919,72094,Health and Mental Health,Mental Health Centers,SPECIALIZED FOSTER CARE-GLENDORA,GLENDORA,CA,1000481,91740,34.12594,-117.8739,2020/05/26 16:45:35+00,6599833.89305897,1868236.30054922,General Mental Health Resource
-118.035710056666,34.0520499670246,71942,Health and Mental Health,Mental Health Centers,SPIRIT FAMILY SERVICES KEYS,SOUTH EL MONTE,CA,1000324,91733,34.05205,-118.03571,2020/05/26 16:15:47+00,6550853.3112303,1841324.31336281,General Mental Health Resource
