X,Y,OBJECTID,source,ext_id,cat1,cat2,cat3,org_name,Name,addrln1,addrln2,city,state,hours,phones,url,info1,info2,post_id,description,zip,link,use_type,latitude,longitude,date_updated,email,dis_status,POINT_X,POINT_Y
-118.208452056644,34.0572429669343,159,211,,Health and Mental Health,Mental Health Programs,,,Los Angeles County Department Of Health Services - Los Angeles County And Usc Healthcare Network - Psychiatric Emergency Unit,1200 N. State St.,,Los Angeles,CA,"Monday through Sunday, 24 hours per day. ","Psychiatric Emergency Admitting Service/Intake (323) 409-7085, Psychiatric Emergency Service/Intake (323) 226-5577,  Administrative (323) 409-2345, Psychiatric Emergency Walk-In Admitting Service/Intake (323) 409-5750, Access Line and PMRT After Hours/Wee",,,,626,The unit provides mental health services for people of all ages in the Central Health Region.,90033,http://egis3.lacounty.gov/lms/?p=626,publish,34.057243,-118.208452,2013/06/01 11:50:56+00,,,6498531.5044568,1843277.69134581
-118.445114055646,34.0657189667891,160,211,,Health and Mental Health,Mental Health Programs,,,Ucla Resnick Neuropsychiatric Hospital - Child And Adolescent Services,760 Westwood Plaza,,Los Angeles,CA,"Monday through Sunday, 24 hours per day. ","Access Center Service/Intake (310) 825-9989, Appointments Service/Intake (800) 825-9989",,,,627,The program provides inpatient and outpatient mental health services for youth.,90024,http://egis3.lacounty.gov/lms/?p=627,publish,34.065719,-118.445114,2013/06/01 11:50:56+00,,,6426862.04871464,1846595.28182347
-118.25580705585,34.0850949665844,161,211,,Health and Mental Health,Mental Health Programs,,,Gateways Hospital And Mental Health Center - Residential Reentry Center,1801 Lakeshore Ave.,,Los Angeles,CA,"Monday through Sunday, 24 hours per day. ","FAX (323) 644-2044,  Service/Intake (323) 644-2020",www.gatewayshospital.org,,,628,"The center provides residential mental health services for ex-offender adults, ages 18 to 59, in Los Angeles County.",90026,http://egis3.lacounty.gov/lms/?p=628,publish,34.085095,-118.255807,2013/06/01 11:50:56+00,,,6484213.78998205,1853446.65788448
-118.106481056788,34.0697229666872,166,211,,Health and Mental Health,Mental Health Programs,,,Ingleside Hospital,7500 E. Hellman Ave.,,Rosemead,CA,"SITE HOURS: Monday through Sunday, 24 hours per day. ","FAX (626) 571-4880,  Service/Intake and Administration (626) 288-1160,  TDD (626) 288-2371, Psychiatric Emergency Service/Intake and Hotline (888) 819-9888",,,,632,"The hospital provides mental health services for adults, age 18 and older, who live in the Los Angeles County.",91770,http://egis3.lacounty.gov/lms/?p=632,publish,34.069723,-118.106481,2013/06/01 11:50:56+00,,,6529422.6848003,1847771.01700482
-118.352222056511,33.9119389673584,187,211,,Health and Mental Health,Mental Health Programs,,,Los Angeles Metropolitan Medical Center - Hawthorne Psychiatric Campus,13300 S. Hawthorne Blvd.,,Hawthorne,CA,"Monday through Sunday, 24 hours per day. Visiting hours are Monday through Friday, 6:00pm to 8:00pm; Saturday and Sunday, 2:00pm to 4:00pm; and 6:00pm to 8:00pm ","Psychiatric Intake Hotline/Talkline/Warmline (800) 787-4357,  Service/Intake (310) 679-3321",www.lammc.com,,,640,The medical center provides hospital services and health education for people of all ages in Los Angeles County.,90250,http://egis3.lacounty.gov/lms/?p=640,publish,33.911939,-118.352222,2013/06/01 11:50:56+00,,,6454799.30944106,1790520.29062723
-118.259793055823,34.0772919664136,199,211,,Health and Mental Health,Mental Health Programs,,www.elcentrodelpueblo.org,El Centro Del Pueblo,1157 Lemoyne St.,,Los Angeles,CA,,"Service/Intake (213) 483-6335,  FAX (213) 483-5523",www.elcentrodelpueblo.org,,,649,"The agency provides child abuse services, HIV/AIDS services, family preservation services, holiday assistance, substance abuse services and youth services.",90026,http://egis3.lacounty.gov/lms/?p=649,publish,34.077292,-118.259793,2013/06/01 11:50:56+00,,,6482999.52108514,1850610.10286206
-118.265498356581,33.9183030670535,207,211,,Health and Mental Health,Mental Health Programs,,LA County,View Heights Convalescent Hospital,12619 S. Avalon Blvd.,,Los Angeles,CA,"Office hours are Monday through Friday, 8:30am to 5:00pm; service hours are provided Monday through Sunday, 24 hours per day","FAX (323) 754-1186,  FAX (323) 757-0601,  Service/Intake (323) 757-1881",www.viewheights.com,,,654,"The facility provides long-term residential care for mentally disturbed adults age 18 to 64 who need a protective treatment environment before returning to the community.  The locked facility provides 99 beds; the open facility provides 64 beds.  Services are provided by licensed nurses.  It is supported by fees.",90061,http://egis3.lacounty.gov/lms/?p=654,publish,33.9183031,-118.2654983,2013/05/28 15:18:27+00,,,6481119.01697214,1792755.47086814
-118.09215905674,34.1420189666642,220,211,,Health and Mental Health,Mental Health Programs,,www.SGVPA.org,San Gabriel Valley Psychological Association,2810 E. Del Mar Blvd.,,Pasadena,CA,,"Service/Intake and Administration (626) 354-5559,  Service/Intake (626) 583-3215",www.SGVPA.org,,,662,The association is a professional organization for psychologists whose practices are located in the San Gabriel Valley.,91107,http://egis3.lacounty.gov/lms/?p=662,publish,34.142019,-118.092159,2013/06/01 11:50:56+00,,,6533784.20494863,1874076.58611272
-118.181761056888,34.1136389668717,256,211,,Health and Mental Health,Mental Health Programs,,www.dignitylosangeles.org,Dignity Los Angeles,126 S. Ave. 64,,Los Angeles,CA,,Service/Intake (323) 344-8064,www.dignitylosangeles.org,,,678,The agency provides personal enrichment services for people of all ages.,90042,http://egis3.lacounty.gov/lms/?p=678,publish,34.113639,-118.181761,2017/10/31 16:51:51+00,,,6506653.14503764,1863785.5384534
-117.989131756615,34.0797226572873,259,211,,Health and Mental Health,Mental Health Programs,,,"Eggleston Youth Center, Inc. - Baldwin Park",13001 Ramona Blvd,,Irwindale,CA,,"FAX (626) 851-9789,  Service/Intake (626) 480-8107",,,,679,The agency provides family preservation for families and individuals of all ages in Los Angeles County.,91706,http://egis3.lacounty.gov/lms/?p=679,publish,34.07972269,-117.9891317,2013/06/01 11:50:56+00,,,6564961.38701671,1851393.19447173
-117.874218456768,34.1051833075446,267,211,,Health and Mental Health,Mental Health Programs,,,Hathaway-Sycamores - Covina Community Based Mental Health Services,1411 N Grand Ave,,Covina,CA,,Service/Intake (626) 395-7100 Ext.5300,www.hathaway-sycamores.org,,,686,"The agency provides family support services, foster care, out-of-home care for boys, and mental health services for families in Los Angeles.",91724,http://egis3.lacounty.gov/lms/?p=686,publish,34.10518334,-117.8742184,2013/06/01 11:50:56+00,,,6599746.98378398,1860682.4521399
-118.205327055951,34.0596668272994,281,211,,Health and Mental Health,Mental Health Programs,,,Violence Intervention Program - Community-Based Assessment And Treatment Center,2010 Zonal Ave,,Los Angeles,CA,,"Service/Intake and Administration (323) 226-5086,  FAX (323) 226-5134",www.violenceinterventionprogram.org,,,696,"The agency provides adult protective services, child abuse services, domestic violence services, health services for foster children, and mental health services for victims of child abuse/neglect, domestic violence, sexual assault, elder abuse and dependent adult abuse in Los Angeles County.",90031,http://egis3.lacounty.gov/lms/?p=696,publish,34.05966686,-118.205327,2013/06/01 11:50:56+00,,,6499479.84836064,1844157.83098973
-118.148691636363,33.859869567224,283,211,,Health and Mental Health,Mental Health Programs,,,Lakewood Regional Medical Center,3700 E. South St.,,Lakewood,CA,"24 hours a day
 
","FAX (562) 602-0083, Bereavement Support Group Service/Intake (562) 531-3031, Physician Referrals and Community Class information Service/Intake (800) 813-4345, Main Number Service/Intake and Administration (562) 531-2550",https://www.lakewoodregional.com/,,,698,"Lakewood Regional Medical Center is proud to be a integral part of the Orange County community. From orthopedics to cardiac care to urology, we’ve received many designations for quality care. Although we appreciate these prestigious honors, we are most honored by the opportunity to serve you and your loved ones. We’re committed to finding new ways to improve and make our hospital the best place for patients, physicians and employees. We appreciate the opportunity to serve you, and we are here any time you need help.",90712,http://egis3.lacounty.gov/lms/?p=698,publish,33.8598696,-118.14869158,2016/01/25 12:58:18+00,,,6516526.3011443,1771417.14116956
-117.892546057092,34.0276939674972,290,211,,Health and Mental Health,Mental Health Programs,,www.almafs.com,Alma Family Services - Walnut Office,18780 Amar Rd.,,Walnut,CA,,"Service/Intake (626) 965-4463,  FAX (626) 965-9240",www.almafs.com,,,700,The agency provides services for people with developmental disabilities who live in Los Angeles County.,91789,http://egis3.lacounty.gov/lms/?p=700,publish,34.027694,-117.892546,2013/06/01 11:50:56+00,,,6594228.99514805,1832476.16964181
-118.225448056675,33.9232989666981,311,211,,Health and Mental Health,Mental Health Programs,,www.shieldsforfamilies.org,Shields For Families Inc - Eden,2620 Industry Way,,Lynwood,CA,,Service/Intake and Administration (323) 242-5000,www.shieldsforfamilies.org,,,712,"The agency provides child abuse services, domestic violence services, family preservation services, mental health services, residential substance abuse treatment, substance abuse services, vocational education services and youth services primarily for families who live in the South Central Los Angeles/Compton area.",90262,http://egis3.lacounty.gov/lms/?p=712,publish,33.923299,-118.225448,2013/06/01 11:50:56+00,,,6493274.20230739,1794543.91381356
-118.33765245624,34.0069930164886,316,211,,Health and Mental Health,Mental Health Programs,,,Eggleston Youth Center Inc,3701 W Stocker St,,Los Angeles,CA,,"Service/Intake and Administration (323) 508-2838,  Administrative (323) 954-1464",,,,720,The agency provides family preservation for families and individuals of all ages in Los Angeles County.,90008,http://egis3.lacounty.gov/lms/?p=720,publish,34.00699305,-118.3376524,2013/06/01 11:50:56+00,,,6459336.19209956,1825097.14568597
-118.132942056525,33.9168909671641,329,211,,Health and Mental Health,Mental Health Programs,,probation.lacounty.gov/about/rtsb.asp,Los Angeles County Probation Department - Juvenile Institutions - Residential Treatment Services Bureau,9150 E. Imperial Hwy.,,Downey,CA,,"Residential Treatment Services Bureau Service/Intake (562) 940-2503, Residential Treatment Services Bureau Chief Administration (562) 940-2508",probation.lacounty.gov/about/rtsb.asp,,,723,The bureau provides correctional programs for youth who are wards of the Juvenile Court.,90242,http://egis3.lacounty.gov/lms/?p=723,publish,33.916891,-118.132942,2013/06/01 11:50:56+00,,,6521335.44933438,1792161.86936507
-118.208805956227,34.0603983365469,334,Current Services Locator,,Health and Mental Health,Mental Health Programs,,,Psychiatric Emergency Services,1200 N. State St.,,Los Angeles,CA,"Monday through Thursday, 10:00am to 7:00pm.",(323) 226-7085 (Primary),,,,742,,90033,http://egis3.lacounty.gov/lms/?p=742,publish,34.06039837,-118.2088059,2010/11/01 19:50:56+00,,,6498426.69593939,1844426.21135847
-118.150465056987,34.1036843369499,337,Current Services Locator,,Health and Mental Health,Mental Health Programs,,,Mental Health Court Program,1499 Huntington Dr.,# 101,South Pasadena,CA,Window Service Hours,(626) 403-4370 (Primary),,,,745,,91030,http://egis3.lacounty.gov/lms/?p=745,publish,34.10368437,-118.150465,2010/11/01 19:50:56+00,,,6516120.69139121,1860147.2127248
-118.169741656815,34.0117399665868,338,Current Services Locator,,Health and Mental Health,Mental Health Programs,,,Dorothy Kirby Center Mental Health Unit,1500 S. Mcdonnell Ave.,,Commerce,CA,Window Service Hours,(323) 981-4318 (Primary),,,,746,,90040,http://egis3.lacounty.gov/lms/?p=746,publish,34.01174,-118.1697416,2010/11/01 19:50:56+00,,,6510228.67036688,1826696.21565056
-118.215772056123,34.0666594771745,339,Current Services Locator,,Health and Mental Health,Mental Health Programs,,,Countywide Resource Management,1925 Daly St.,2Nd Flr,Los Angeles,CA,,(323) 226-4447 (Primary),,,,750,,90031,http://egis3.lacounty.gov/lms/?p=750,publish,34.06665951,-118.215772,2010/11/01 19:50:56+00,,,6496321.68112056,1846709.21171373
-118.547248656287,34.3781870062595,342,Current Services Locator,,Health and Mental Health,Mental Health Programs,,,Santa Clarita Valley Mental Health Center,25050 Peachland Ave.,Ste. 203,Newhall,CA,,(661) 222-2800 (Primary),,,,754,,91321,http://egis3.lacounty.gov/lms/?p=754,publish,34.37818704,-118.5472486,2010/11/01 19:50:56+00,,,6396548.68250422,1960459.19385898
-118.224519356206,33.9721747767081,343,Current Services Locator,,Health and Mental Health,Mental Health Programs,,,Arcadia Mental Health Center,2620 California Ave.,,Monrovia,CA,,(626) 471-6400 (Primary),,,,755,,91016,http://egis3.lacounty.gov/lms/?p=755,publish,33.97217481,-118.2245193,2010/11/01 19:50:56+00,,,6493595.67869855,1812330.21583931
-118.12293895767,34.6701707862824,348,Current Services Locator,,Health and Mental Health,Mental Health Programs,,,Antelope Valley Mental Health Center,349 E. Ave. K-6,Ste. A,Lancaster,CA,,(661) 723-4260 (Primary),,,,761,,93535,http://egis3.lacounty.gov/lms/?p=761,publish,34.67017082,-118.1229389,2010/11/01 19:50:56+00,,,6524705.67979863,2066292.18724506
-118.435384455997,34.3251389662426,349,Current Services Locator,,Health and Mental Health,Mental Health Programs,,,Psychiatric Emergency Services,4445 Olive View Dr.,Psychiatric Emergency Room,Sylmar,CA,,(818) 364-4340 (Primary),,,,762,,91342,http://egis3.lacounty.gov/lms/?p=762,publish,34.325139,-118.4353844,2010/11/01 19:50:56+00,,,6430217.6765178,1940989.19703789
-118.291444955776,34.0640302468723,350,Current Services Locator,,Health and Mental Health,Mental Health Programs,,,Hiv/co-occurring Disorders Systemwide,550 S. Vermont Ave.,11Th Flr,Los Angeles,CA,,(213) 351-6633 (Primary),,,,763,,90020,http://egis3.lacounty.gov/lms/?p=763,publish,34.06403028,-118.2914449,2010/11/01 19:50:56+00,,,6473400.68956105,1845810.21088706
-118.291444955776,34.0640302468723,351,Current Services Locator,,Health and Mental Health,Mental Health Programs,,,Medi-cal Mental Health Plan,550 S. Vermont Ave.,7Th Floor,Los Angeles,CA,,(213) 739-7300 (Primary),,,,764,,90020,http://egis3.lacounty.gov/lms/?p=764,publish,34.06403028,-118.2914449,2010/11/01 19:50:56+00,,,6473400.68956105,1845810.21088706
-118.242235156715,34.0433925568822,352,Current Services Locator,,Health and Mental Health,Mental Health Programs,,,Downtown Mental Health Center,617 E. 5Th St.,,Los Angeles,CA,,(213) 688-4800 (Primary),,,,765,"Evidence Based Practice (EBP):  Child Parent Psychology- CPP (YC), Trauma Focussed - CBT (T).

Age Group for EBP: YC = Young Child, T = 16-25 years.",90013,http://egis3.lacounty.gov/lms/?p=765,publish,34.04339259,-118.2422351,2011/02/23 18:31:56+00,,,6488286.68373914,1838260.2115514
-118.291830956596,34.0601603064918,353,Current Services Locator,,Health and Mental Health,Mental Health Programs,,,Homeless & Housing Division,695 S. Vermont Ave.,8Th Flr,Los Angeles,CA,,(213) 251-6503 (Primary),,,,766,,90020,http://egis3.lacounty.gov/lms/?p=766,publish,34.06016034,-118.2918309,2010/11/01 19:50:56+00,,,6473279.69341198,1844402.21009414
-118.291830956596,34.0601603064918,354,Current Services Locator,,Health and Mental Health,Mental Health Programs,,,Mental Health Services Act Housing,695 S. Vermont Ave.,8Th Flr,Los Angeles,CA,,(213) 251-6558 (Primary),,,,767,,90020,http://egis3.lacounty.gov/lms/?p=767,publish,34.06016034,-118.2918309,2010/11/01 19:50:56+00,,,6473279.69341198,1844402.21009414
-118.243152056549,34.0452189665425,356,211,,Health and Mental Health,Mental Health Programs,,,Special Service For Groups -  Project 180,420 S. San Pedro,,Los Angeles,CA,"SITE HOURS:  Monday through Friday, 8:30am to 4:30pm. ","FAX (213) 621-4155,  Service/Intake (213) 620-5712",ssgmain.org/,,,772,"The agency provides advocacy, child care, HIV/AIDS services, holiday assistance, interpreter and translator services, personal goods, services for non-profit organizations, services for older adults, substance abuse services, and youth services in Los Angeles County.",90013,http://egis3.lacounty.gov/lms/?p=772,publish,34.045219,-118.243152,2017/10/30 14:43:13+00,,,6488010.52287413,1838925.54650681
-118.261804256547,34.0439658273105,362,211,,Health and Mental Health,Mental Health Programs,,,Special Service For Groups - Asian Pacific Islander Mental Health Alliance,605 W Olympic Blvd,Suite 780,Los Angeles,CA,"Monday through Friday, 9:00am to 5:00pm. ","Service/Intake (213) 236-9388, Mental Health Hotline for Asian/Pacific Islander Adults Hotline/Talkline/Warmline (866) 616-8377",ssgmain.org/,,,773,"The agency provides advocacy, child care, HIV/AIDS services, holiday assistance, interpreter and translator services, personal goods, services for non-profit organizations, services for older adults, substance abuse services, and youth services in Los Angeles County.",90015,http://egis3.lacounty.gov/lms/?p=773,publish,34.04396586,-118.2618042,2013/06/01 11:50:56+00,,,6482358.90064722,1838483.69863723
-118.352720056262,33.8313189671322,401,211,,Health and Mental Health,Mental Health Programs,,,1736 Family Crisis Center - South Bay Community Service Center,21707 Hawthorne Blvd.,,Torrance,CA,"Monday through Friday, 8:30am to 5:30pm.  Evenings and Saturdays by appointment.  The hotlines operate Monday through Sunday, 24 hours per day. ","FAX (310) 543-9910, Community Service Center Service/Intake (310) 543-9900",www.1736fcc.org,,,787,"The agency provides case management, counseling services, domestic violence services, family support services for low income families, runaway services, emergency and transitional shelter for battered women and their children, shelter for runaway/homeless youth, and welfare-to-work support services.",90503,http://egis3.lacounty.gov/lms/?p=787,publish,33.831319,-118.35272,2017/10/30 15:07:51+00,,,6454545.25450297,1761181.41328147
-118.246972056022,34.0524119670254,437,211,,Health and Mental Health,Mental Health Programs,,,Bienvenidos Children's Center Inc,316 W. 2nd St.,,Los Angeles,CA,"Monday through Friday, 9:00am to 5:30pm. ","Administrative (213) 785-5906, Community Services Division Service/Intake (323) 268-5442, Medical Services Division Service/Intake (323) 268-9191, Mental Health Services Division Service/Intake (626) 696-1270, Administrative FAX (213) 785-5928, Foster Fam",www.bienvenidos.org,,,798,"The agency provides child abuse services, family support services, foster care services, health services, and substance abuse services for families throughout the San Gabriel Valley.",90012,http://egis3.lacounty.gov/lms/?p=798,publish,34.052412,-118.246972,2013/06/01 11:50:56+00,,,6486859.7364618,1841546.03306372
-118.244546056446,33.9531869673904,459,211,,Health and Mental Health,Mental Health Programs,,www.drewcdc.org,92Nd And Maie Child Development Center,9200 S. Maie St.,,Los Angeles,CA,"Monday through Friday, 8:00am to 5:00pm. ",Service/Intake (323) 249-0621,www.drewcdc.org,,,804,"The agency provides child care services, family preservation, and mental health services primarily for people who live in South Central Los Angeles.",90002,http://egis3.lacounty.gov/lms/?p=804,publish,33.953187,-118.244546,2017/10/16 14:16:17+00,,,6487506.74796306,1805434.33264948
-118.595221355458,34.167607576773,477,211,,Health and Mental Health,Mental Health Programs,,,Family Phases Counseling,21243 Ventura Blvd,,Woodland Hills,CA,,"FAX (818) 883-9963,  Service/Intake (805) 499-9633,  Service/Intake (818) 883-9962",familyphases.com,,,812,The agency provides Christian oriented counseling services primarily for San Fernando Valley residents.,91364,http://egis3.lacounty.gov/lms/?p=812,publish,34.16760761,-118.5952213,2013/06/01 11:50:56+00,,,6381620.22581264,1883909.0510278
-118.06254855766,34.558683555855,483,211,,Health and Mental Health,Mental Health Programs,,,Action Family Counseling - Antelope Valley,37230 37Th St E,,Palmdale,CA,,Service/Intake and Administration (661) 285-1400,www.actionfamily.org/,,,816,The agency provides counseling services for adolescents and their families in Los Angeles County.,93550,http://egis3.lacounty.gov/lms/?p=816,publish,34.55868359,-118.0625485,2013/06/01 11:50:56+00,,,6542838.30626297,2025702.21396323
-118.070238056803,34.1467209668104,486,211,,Health and Mental Health,Mental Health Programs,,,Action Family Counseling - Pasadena,3813 E. Colorado Blvd.,,Pasadena,CA,,"Service/Intake and Administration (626) 792-8106,  FAX (626) 792-8206",www.actionfamily.org/,,,817,The agency provides counseling services for adolescents and their families in Los Angeles County.,91107,http://egis3.lacounty.gov/lms/?p=817,publish,34.146721,-118.070238,2013/06/01 11:50:56+00,,,6540418.41051222,1875782.37174314
-118.264737656335,34.0468611471973,516,211,,Health and Mental Health,Mental Health Programs,,www.salvationarmy-socal.org,Salvation Army Corps Community Center - El Centro,906 Francisco St,,Los Angeles,CA,,Service/Intake (213) 896-9178,www.salvationarmy-socal.org,,,838,The agency provides counseling services and recreational programs for people who live in central Los Angeles.,90015,http://egis3.lacounty.gov/lms/?p=838,publish,34.04686118,-118.2647376,2013/06/01 11:50:56+00,,,6481473.02840322,1839539.68602656
-118.264985055674,33.9489929673159,525,211,,Health and Mental Health,Mental Health Programs,,www.resourcesunlimited.us/,Los Angeles Wings Of Faith Inc,9626 S. Avalon Blvd.,,Los Angeles,CA,,"Safe Exchange Program FAX (310) 548-3017,  Service/Intake and Administration (323) 449-1300, So Cal chapter information Service/Intake (323) 779-0729,  Service/Intake (310) 834-1800,  FAX (323) 779-0739",www.resourcesunlimited.us/,,,841,The agency provides counseling services and supervised visitation monitoring for families who live in Los Angeles.,90003,http://egis3.lacounty.gov/lms/?p=841,publish,33.948993,-118.264985,2013/06/01 11:50:56+00,,,6481304.19311097,1803923.7602113
